Monarch	LogRelexpr18S28S_379	LogRelexpr18S28S_203	LogRelexpr18S28S_C2	LogRelexpr18S28S_C4	LogRelexpr18S28S_C5	LogRelexpr18S28S_C7	Population_379	Population_203	Population_C2	Population_C4	Population_C5	Population_C7	Sex_379	Sex_203	Sex_C2	Sex_C4	Sex_C5	Sex_C7	Groupnumber_379	Groupnumber_203	Groupnumber_C2	Groupnumber_C4	Groupnumber_C5	Groupnumber_C7
FL35	-5.735719191	-5.533046093	-4.797300863	-4.461948949	-4.423890721	-4.766740327	east	east	east	east	east	east	F	F	F	F	F	F	1	5	9	13	17	21
FL72	-6.214008744	-6.369840739	-4.725838335	-4.45900126	-4.45900126	-5.020991135	east	east	east	east	east	east	F	F	F	F	F	F	1	5	9	13	17	21
FL74	-4.85791212	-4.593920819	-2.652108408	-2.614835069	-2.897359019	-2.841117045	east	east	east	east	east	east	F	F	F	F	F	F	1	5	9	13	17	21
FL75	-6.139628719	-6.30501221	-4.835978452	-4.340078509	-4.439757335	-4.867258135	east	east	east	east	east	east	F	F	F	F	F	F	1	5	9	13	17	21
FL79	-4.397748943	-4.181319518	-3.013538366	-2.774676918	-3.176729679	-2.977623703	east	east	east	east	east	east	F	F	F	F	F	F	1	5	9	13	17	21
FL05	-6.002422603	-6.184092593	-4.942582979	-4.788668325	-4.254581157	-4.713543842	east	east	east	east	east	east	M	M	M	M	M	M	2	6	10	14	18	22
FL11	-5.574368472	-5.673675429	-5.380590355	-4.408680454	-4.284960591	-4.727556584	east	east	east	east	east	east	M	M	M	M	M	M	2	6	10	14	18	22
FL17	-5.628549203	-5.858297821	-4.670523525	-4.39558167	-4.417743068	-4.631925578	east	east	east	east	east	east	M	M	M	M	M	M	2	6	10	14	18	22
FL41	-6.170613231	-6.336171269	-1.866386011	-1.764884198	-2.231335005	-1.705032614	east	east	east	east	east	east	M	M	M	M	M	M	2	6	10	14	18	22
FL81	-2.375201315	-2.361145463	-1.863910385	-2.143275639	-2.284843933	-2.146308975	east	east	east	east	east	east	M	M	M	M	M	M	2	6	10	14	18	22
C135	-4.9980448	-4.661108179	-3.549622518	-3.491530955	-3.49355758	-3.808226581	west	west	west	west	west	west	F	F	F	F	F	F	3	7	11	15	19	23
C143	-5.912708123	-6.011595553	-3.129268379	-3.161963867	-2.919258931	-3.541278477	west	west	west	west	west	west	F	F	F	F	F	F	3	7	11	15	19	23
C181	-6.096134568	-5.961230656	-3.533716765	-3.021525346	-2.72913851	-3.408580139	west	west	west	west	west	west	F	F	F	F	F	F	3	7	11	15	19	23
C61	-6.466447355	-6.528078288	-4.015140373	-3.599654542	-3.003909645	-3.736649866	west	west	west	west	west	west	F	F	F	F	F	F	3	7	11	15	19	23
C118	-5.391739046	-5.681676093	-3.306776456	-3.051349462	-2.737227453	-3.67610215	west	west	west	west	west	west	M	M	M	M	M	M	4	8	12	16	20	24
C56	-5.674712139	-5.678425865	-1.938361607	-1.634777133	-1.544554489	-2.043918586	west	west	west	west	west	west	M	M	M	M	M	M	4	8	12	16	20	24
C63	-4.775827559	-4.821149983	-3.699524256	-3.497544754	-3.943897919	-3.739939639	west	west	west	west	west	west	M	M	M	M	M	M	4	8	12	16	20	24
C67	-6.036459685	-6.372880893	-3.815332331	-3.114932284	-2.880665912	-3.550872317	west	west	west	west	west	west	M	M	M	M	M	M	4	8	12	16	20	24
C68	-3.455760623	-3.47633674	-2.73438656	-2.872338162	-3.01147753	-2.933878952	west	west	west	west	west	west	M	M	M	M	M	M	4	8	12	16	20	24
