ID,Sex,Population,premass,postmass,weightloss,time.sec,time.min,distance,averagevelocity,maxvelocity,power,Area,PC1,PC2,groupnumeric
FL28,F,east,0.4132,0.4097,-5.564760723,1006.6368,16.77728,1284.78,1.387554791,1.464586958,0.000391799,889.227,-1.41120623,1.034957,1
FL30,F,east,0.6074,0.5946,-4.956517341,819.4368,13.65728,1158.05,1.520939678,1.558196103,0.000839273,882.994,-0.28113571,0.15848811,1
FL35,F,east,0.4705,0.4625,-5.428472942,1798.008,29.9668,2145.67,1.244473332,1.290065017,0.000199187,844.261,0.5681167,-0.10688104,1
FL48,F,east,0.4145,0.4068,-4.864580422,614.727,10.24545,563.73,0.987523413,1.052818789,0.000322674,891.255,-1.58772709,-0.77556638,1
FL56,F,east,0.5157,0.5106,-5.383160369,1036.644296,17.27740493,1232.34,1.284118909,1.368447903,0.000406099,903.853,-0.17369716,-0.59618638,1
FL58,F,east,0.451,0.4487,-4.693726949,143.10456,2.385076,113.62,0.936441339,0.936441339,0.001374782,859.762,-0.89527776,0.38844667,1
FL60,F,east,0.484,0.4814,-5.221143284,510.69228,8.511538,432.63,0.871637774,0.910646309,0.000358087,885.062,-0.33608487,0.03372995,1
FL72,F,east,0.5397,0.5235,-4.987268923,1311.4716,21.85786,1573.2,1.260944162,1.307667328,0.000317336,837.034,-0.27168277,0.54911758,1
FL73,F,east,0.4194,0.417,-5.554736421,652.9326,10.88221,860.89,1.356625592,1.401093171,0.000587703,864.789,0.17963877,-0.40185451,1
FL74,F,east,0.5219,0.5108,-5.085116938,1711.2714,28.52119,1350.33,0.877759836,0.971189119,0.000114988,912.528,0.01786371,-0.79304159,1
FL75,F,east,0.5636,0.5404,-4.967840371,1799.2716,29.98786,2154.41,1.249461166,1.327595676,0.000234441,1006.46,-1.89442929,-0.23101753,1
FL77,F,east,0.6615,0.6395,-4.975665709,1796.787,29.94645,2080.12,1.177082388,1.243587294,0.000246563,833.138,0.12974688,0.21327364,1
FL79,F,east,0.5811,0.5797,-5.357676261,305.68914,5.094819,319.01,1.098205178,1.169898989,0.001143563,999.799,-1.68540021,-0.23192753,1
FL05,M,east,0.4994,0.4932,-4.965361043,857.1906,14.28651,572.47,0.687124787,0.703891961,0.000135827,875.622,-0.44498163,-0.05507439,2
FL09,M,east,0.5442,0.5351,-5.522799515,1801.2054,30.02009,3032.78,1.788136858,1.851309988,0.000474945,828.884,0.67651065,-0.45694247,2
